,No.,Symbol,Company Name,% Change,Stock Price,Volume,Market Cap
0,1,RSLS,ReShape Lifesciences Inc.,341.05%,1.59,248676805,5.26M
1,2,BIAF,"bioAffinity Technologies, Inc.",319.23%,1.09,491440955,16.99M
2,3,NMAX,Newsmax Inc.,153.56%,232.0,11253951,29.79B
3,4,ICCT,iCoreConnect Inc.,110.71%,4.72,209060735,6.58M
4,5,GATE,Marblegate Acquisition Corp.,83.83%,36.05,159592,417.54M
5,6,SATX,Satixfy Communications Ltd.,65.00%,1.98,18144997,167.93M
6,7,QSG,QuantaSing Group Limited,63.68%,6.58,10226335,336.32M
7,8,NUTX,Nutex Health Inc.,51.82%,71.4,314115,388.20M
8,9,TCRT,"Alaunos Therapeutics, Inc.",48.97%,2.16,5346439,3.46M
9,10,YCBD,"cbdMD, Inc.",43.17%,0.329,65313541,2.06M
10,11,CRWV,"CoreWeave, Inc.",41.77%,52.57,37479435,24.40B
11,12,SONM,"Sonim Technologies, Inc.",38.32%,2.96,1456459,14.42M
12,13,LSE,"Leishen Energy Holding Co., Ltd.",32.81%,5.95,208820,101.30M
13,14,MVST,"Microvast Holdings, Inc.",32.48%,1.55,41737008,499.30M
14,15,VERU,Veru Inc.,30.54%,0.64,15077292,93.66M
15,16,NXU,"Nxu, Inc.",29.59%,3.46,753823,7.66M
16,17,GCTK,"GlucoTrack, Inc.",28.94%,0.225,12066113,2.34M
17,18,EQ,"Equillium, Inc.",28.42%,0.504,273160,17.94M
18,19,PTIX,"Protagenic Therapeutics, Inc.",28.14%,0.25,635735,1.70M
19,20,NRGV,"Energy Vault Holdings, Inc.",26.91%,0.883,5311925,135.20M
